,name,size
723,Nipponia (A912 CF),32.17
724,Leonisis (A912 DB),5.887
725,Watsonia (A912 CE),50.025
726,Athanasia (A912 GG),4.497
727,Sorga (A912 GH),34.597
728,Tjilaki (A912 HK),29.791
729,Mocia (A912 SA),98.493
730,Benda (A912 TF),67.318
731,Marghanna (A912 XD),67.976
732,Harvard (A912 WC),17.111
733,Arequipa (A912 XC),47.804
734,Alagasta (A913 AF),62.79
735,Mandeville (A913 CH),104.517
736,Cantabia (A913 CK),90.9
737,Botolphia (A913 CJ),29.64
738,Edisona (A913 DC),47.087
739,Eugenisis (A913 DD),51.072
740,Aguntina (A913 DE),58.636
741,Mauritia (A913 EH),24.711
742,Marlu (A913 EJ),74.274
743,Winchester (A913 EK),171.71
744,Simeisa (A913 EL),103.714
745,Malzovia (A913 GD),11.065
746,Oskar (A913 HF),22.526
747,Faina (A913 HE),113.699
748,Sulamitis (A913 HG),60.171
749,Tiflis (A913 HH),20.922
750,Malabar (A906 QH),94.522
751,Quintilla (A908 GC),41.21
752,Lilliana (A908 HD),64.837
753,Portlandia (A908 TG),32.894
754,Mancunia (A912 KB),88.985
755,Vinifera (A913 QC),52.926
756,Massinga (A913 QD),71.29
757,Brendelia (A913 RE),20.763
758,Pulcova (A913 RD),147.343
759,Cupido (A913 SE),7.005
760,Gedania (A913 SF),58.28
761,Mattiaca (A917 SS),7.991
762,Moguntia (A913 SH),41.044
763,Bondia (A913 SD),43.039
764,Struveana (A913 TC),32.597
765,Tatjana (A913 TD),96.72
766,Bali (A913 UG),16.388
767,Libera (A913 WB),29.322
768,Tanete (A913 YD),126.473
769,Irmintraud (A913 YF),91.672
770,Armor (A913 YE),50.214
771,Lumiere (A914 AA),31.958
772,Berbericia (A914 BE),151.711
773,Gutemberga (A914 BF),71.749
774,Theobalda (A914 BG),55.317
775,Nina (A914 BH),80.572
776,Armenia (A914 BJ),126.263
777,Kartvelia (A914 BK),72.927
778,Montefiore (A914 FA),14.158
779,Nora (A914 FB),38.719
780,Pickeringia (A914 FC),75.596
781,Zwetana (A914 FD),49.46
782,Bredichina (A914 HD),108.309
783,Moskva (A914 HC),27.927
784,Hohensteina (A914 HE),111.295
785,Lena (A914 MA),22.483
786,Pretoria (A912 BE),170.37
787,Ani (A914 MB),116.865
788,Metcalfia (A907 FC),61.804
789,Arizona (A907 GZ),26.636
790,Irenaea (A914 QB),35.703
791,Fini (A914 SF),85.263
792,Sarita (A914 UF),43.58
793,Montana (A914 WG),21.197
794,Ruth (A914 WH),43.19
795,Gudula (A915 EA),47.185
796,Kressmannia (A915 FG),15.429
797,Helwerthia (A915 FH),32.404
798,Epyaxa (A915 FJ),7.423
799,Picka (A915 FL),46.5
800,Hispania (A915 FK),137.952
801,Hormuthia (A915 HD),73.095
802,Gyldenia (A915 HE),83.103
